File,Start Line,End Line,Api,Type,Tips
Run_RFM_Holl.py,17,17,torch.backends.cudnn.benchmark,DELETED,"""torch.backends.cudnn.benchmark"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
Run_RFM_Holl.py,18,18,torch.backends.cudnn.deterministic,DELETED,"""torch.backends.cudnn.deterministic"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
Run_RFM_Holl.py,75,75,torch.backends.cudnn.benchmark,DELETED,"""torch.backends.cudnn.benchmark"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
Run_RFM_Holl.py,76,76,torch.backends.cudnn.deterministic,DELETED,"""torch.backends.cudnn.deterministic"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
Run_RFM_WoW.py,18,18,torch.backends.cudnn.benchmark,DELETED,"""torch.backends.cudnn.benchmark"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
Run_RFM_WoW.py,19,19,torch.backends.cudnn.deterministic,DELETED,"""torch.backends.cudnn.deterministic"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
Run_RFM_WoW.py,90,90,torch.backends.cudnn.benchmark,DELETED,"""torch.backends.cudnn.benchmark"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
Run_RFM_WoW.py,91,91,torch.backends.cudnn.deterministic,DELETED,"""torch.backends.cudnn.deterministic"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
trainers\DefaultTrainer.py,114,114,torch.no_grad,DELETED,"""torch.no_grad"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
trainers\DefaultTrainer.py,164,164,torch.no_grad,DELETED,"""torch.no_grad"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
