File,Start Line,End Line,Api,Type,Tips
RFM.py,377,377,torch.distributions.categorical.Categorical,UNSUPPORTED,"""torch.distributions.categorical.Categorical"" is not supported."
RFM.py,378,378,torch.distributions.categorical.Categorical,UNSUPPORTED,"""torch.distributions.categorical.Categorical"" is not supported."
RFMHollDataset.py,185,185,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMHollDataset.py,186,186,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMHollDataset.py,187,187,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMHollDataset.py,188,188,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMHollDataset.py,189,189,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMHollDataset.py,190,190,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMHollDataset.py,191,191,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMWoWDataset.py,206,206,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMWoWDataset.py,207,207,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMWoWDataset.py,208,208,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMWoWDataset.py,209,209,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMWoWDataset.py,210,210,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMWoWDataset.py,211,211,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
RFMWoWDataset.py,212,212,torch.nn.utils.rnn.pad_sequence,UNSUPPORTED,"""torch.nn.utils.rnn.pad_sequence"" is not supported."
Run_RFM_Holl.py,16,16,torch.backends.cudnn.enabled,UNSUPPORTED,"""torch.backends.cudnn.enabled"" is not supported."
Run_RFM_Holl.py,20,20,torch.version.cuda,UNSUPPORTED,"""torch.version.cuda"" is not supported."
Run_RFM_Holl.py,21,21,torch.backends.cudnn.version,UNSUPPORTED,"""torch.backends.cudnn.version"" is not supported."
Run_RFM_Holl.py,74,74,torch.backends.cudnn.enabled,UNSUPPORTED,"""torch.backends.cudnn.enabled"" is not supported."
Run_RFM_Holl.py,78,78,torch.version.cuda,UNSUPPORTED,"""torch.version.cuda"" is not supported."
Run_RFM_Holl.py,79,79,torch.backends.cudnn.version,UNSUPPORTED,"""torch.backends.cudnn.version"" is not supported."
Run_RFM_WoW.py,17,17,torch.backends.cudnn.enabled,UNSUPPORTED,"""torch.backends.cudnn.enabled"" is not supported."
Run_RFM_WoW.py,21,21,torch.version.cuda,UNSUPPORTED,"""torch.version.cuda"" is not supported."
Run_RFM_WoW.py,22,22,torch.backends.cudnn.version,UNSUPPORTED,"""torch.backends.cudnn.version"" is not supported."
Run_RFM_WoW.py,89,89,torch.backends.cudnn.enabled,UNSUPPORTED,"""torch.backends.cudnn.enabled"" is not supported."
Run_RFM_WoW.py,93,93,torch.version.cuda,UNSUPPORTED,"""torch.version.cuda"" is not supported."
Run_RFM_WoW.py,94,94,torch.backends.cudnn.version,UNSUPPORTED,"""torch.backends.cudnn.version"" is not supported."
modules\Utils.py,52,52,torch.randn_like,UNSUPPORTED,"""torch.randn_like"" is not supported."
